job_id,title,location,industry,description,posted_date
J040,React Developer,Mumbai,Logistics & Mobility,"Develop responsive user interfaces for web products. Key requirements include React, JS, HTML5, CSS3, and Tailwind. The position contributes to production systems serving Logistics & Mobility customers. Candidates should be comfortable working in agile engineering teams.",2026-07-17
J041,Senior Backend Developer,Nagpur,FinTech,"Develop reliable backend services and APIs for production systems. Key requirements include Java, Spring Boot, relational queries, RESTful APIs, PostgreSQL, containerized deployments, Git, and Amazon Web Services. The role supports FinTech products in Nagpur. Candidates should be comfortable working in agile engineering teams.",2026-09-12
J042,API Developer,Nashik,FinTech,"Design and maintain scalable server-side components. Key requirements include RESTful APIs, Java programming, Spring Boot, SQL, and Amazon Web Services. The role supports FinTech products in Nashik. Practical project experience and strong problem-solving skills are valued.",2026-04-20
J043,Data Analyst,Nagpur,FinTech,"Work with structured datasets to produce actionable insights. Key requirements include Python, SQL, Excel, Pandas, Data Visualization, and Data Analysis. The role supports FinTech products in Nagpur. Practical project experience and strong problem-solving skills are valued.",2026-04-16
J044,Backend Engineer,Nagpur,E-commerce,"Build and maintain server-side applications for business products. Key requirements include Java programming, SpringBoot, SQL, RESTful APIs, Docker, and PostgreSQL. The position contributes to production systems serving E-commerce customers. Experience with production systems and collaborative development is expected.",2026-09-05
J045,QA Automation Engineer,Nagpur,E-commerce,"Improve test automation and software release quality. Key requirements include Java programming, Python 3, relational queries, Git version control, continuous integration and deployment, Jenkins, and containerized deployments. The position contributes to production systems serving E-commerce customers. Experience with production systems and collaborative development is expected.",2026-07-09
J046,QA Automation Engineer,Pune,Manufacturing Technology,"Improve test automation and software release quality. Key requirements include Java, Python 3, SQL, Git version control, and continuous integration and deployment. The position contributes to production systems serving Manufacturing Technology customers. Candidates should be comfortable working in agile engineering teams.",2026-08-03
J047,Site Reliability Engineer,Pune,Logistics & Mobility,"Operate production infrastructure and engineering delivery pipelines. Key requirements include Docker, Kubernetes, Amazon Web Services, Linux, Git, Azure, PowerShell, and Jenkins. The role supports Logistics & Mobility products in Pune. Practical project experience and strong problem-solving skills are valued.",2026-03-31
J048,Product Manager,Pune,E-commerce,"Use product and business data to guide feature decisions. Key requirements include Excel, SQL, data analytics, visualization, Python, and Power BI. The position contributes to production systems serving E-commerce customers. Practical project experience and strong problem-solving skills are valued.",2026-06-26
J049,Frontend Engineer,Nagpur,IT Services,"Develop responsive user interfaces for web products. Key requirements include ReactJS, TypeScript, JS, HTML, CSS3, and Tailwind CSS. The position contributes to production systems serving IT Services customers. Experience with production systems and collaborative development is expected.",2026-07-02
J050,DevOps Engineer,Pune,Manufacturing Technology,"Build and maintain cloud infrastructure and deployment workflows. Key requirements include Docker, K8s, Amazon Web Services, Linux, Git, Jenkins, infrastructure as code, and GCP. The position contributes to production systems serving Manufacturing Technology customers. Practical project experience and strong problem-solving skills are valued.",2026-08-24
J051,Cloud Engineer,Mumbai,Logistics & Mobility,"Operate production infrastructure and engineering delivery pipelines. Key requirements include Amazon Web Services, Linux, Docker, Terraform, CI/CD, and Azure. The team delivers technology solutions for the Logistics & Mobility sector. Candidates should be comfortable working in agile engineering teams.",2026-07-29
J052,Frontend Engineer,Pune,HealthTech,"Implement reusable interfaces for customer-facing web applications. Key requirements include React, TypeScript, JavaScript, HTML5, CSS3, NodeJS, Tailwind, and Git. The position contributes to production systems serving HealthTech customers. The role involves cross-functional collaboration and continuous improvement.",2026-07-16
J053,Frontend Engineer,Nagpur,FinTech,"Implement reusable interfaces for customer-facing web applications. Key requirements include ReactJS, TypeScript, JS, HTML5, CSS3, and Tailwind CSS. The team delivers technology solutions for the FinTech sector. Experience with production systems and collaborative development is expected.",2026-03-19
J054,Node.js Developer,Nagpur,FinTech,"Build and maintain server-side applications for business products. Key requirements include Node.js, JS, RESTful APIs, Mongo, Express, and GraphQL. The team delivers technology solutions for the FinTech sector. The role involves cross-functional collaboration and continuous improvement.",2026-07-17
J055,BI Analyst,Pune,FinTech,"Analyze business data and support data-driven product decisions. Key requirements include Excel, PowerBI, relational queries, visualization, Python, and Git version control. The team delivers technology solutions for the FinTech sector. Experience with production systems and collaborative development is expected.",2026-07-07
J056,React Developer,Nashik,EdTech,"Implement reusable interfaces for customer-facing web applications. Key requirements include ReactJS, JS, HTML, CSS3, Tailwind CSS, and TypeScript. The team delivers technology solutions for the EdTech sector. Candidates should be comfortable working in agile engineering teams.",2026-06-13
J057,DevOps Engineer,Nashik,SaaS,"Improve reliability, automation, and deployment processes. Key requirements include containerized deployments, Kubernetes, AWS, Linux, Git version control, PowerShell, Jenkins, and Terraform. The team delivers technology solutions for the SaaS sector. Candidates should be comfortable working in agile engineering teams.",2026-05-03
J058,Technical Support Engineer,Nashik,FinTech,"Assist customers and engineering teams with technical operations. Key requirements include Linux, PowerShell, relational queries, Git, and Postgres. The role supports FinTech products in Nashik. Experience with production systems and collaborative development is expected.",2026-09-20
J059,UI Developer,Nagpur,E-commerce,"Implement reusable interfaces for customer-facing web applications. Key requirements include HTML5, CSS3, JavaScript, React, Tailwind, and Git version control. The team delivers technology solutions for the E-commerce sector. The role involves cross-functional collaboration and continuous improvement.",2026-05-11
J060,Frontend Engineer,Pune,EdTech,"Build accessible and performant frontend applications. Key requirements include ReactJS, TypeScript, JavaScript, HTML5, CSS, Tailwind, and Angular. The role supports EdTech products in Pune. Candidates should be comfortable working in agile engineering teams.",2026-09-07
J061,Site Reliability Engineer,Pune,IT Services,"Improve reliability, automation, and deployment processes. Key requirements include containerized deployments, K8s, Amazon Web Services, Linux, Git, and Jenkins. The position contributes to production systems serving IT Services customers. Candidates should be comfortable working in agile engineering teams.",2026-04-10
J062,Backend Engineer,Nashik,EdTech,"Build and maintain server-side applications for business products. Key requirements include Java, Spring Boot, SQL, RESTful APIs, containerized deployments, GraphQL, and Jenkins. The role supports EdTech products in Nashik. The role involves cross-functional collaboration and continuous improvement.",2026-05-14
J063,Full Stack Developer,Nagpur,SaaS,"Work across user interfaces, APIs, and data services. Key requirements include React, JS, NodeJS, RESTful APIs, SQL, Amazon Web Services, Docker, and TypeScript. The team delivers technology solutions for the SaaS sector. The role involves cross-functional collaboration and continuous improvement.",2026-09-08
J064,Java Developer,Nagpur,FinTech,"Design and maintain scalable server-side components. Key requirements include Java, SpringBoot, SQL, Postgres, RESTful APIs, Docker, Jenkins, and AWS. The role supports FinTech products in Nagpur. The role involves cross-functional collaboration and continuous improvement.",2026-08-06
J065,Senior Backend Developer,Mumbai,SaaS,"Design and maintain scalable server-side components. Key requirements include Java programming, SpringBoot, relational queries, RESTful APIs, PostgreSQL, and Amazon Web Services. The role supports SaaS products in Mumbai. Experience with production systems and collaborative development is expected.",2026-03-07
J066,React Developer,Mumbai,IT Services,"Implement reusable interfaces for customer-facing web applications. Key requirements include ReactJS, JavaScript, HTML5, CSS3, Tailwind, and TypeScript. The role supports IT Services products in Mumbai. Candidates should be comfortable working in agile engineering teams.",2026-05-04
J067,Backend Developer,Mumbai,FinTech,"Design and maintain scalable server-side components. Key requirements include Java, Spring Boot, SQL, RESTful APIs, containerized deployments, and Amazon Web Services. The role supports FinTech products in Mumbai. Experience with production systems and collaborative development is expected.",2026-08-08
J068,Data Scientist,Nagpur,SaaS,"Work with structured datasets to produce actionable insights. Key requirements include Python, Pandas, numpy, Machine Learning, and containerized deployments. The role supports SaaS products in Nagpur. Candidates should be comfortable working in agile engineering teams.",2026-07-20
J069,Product Manager,Nashik,Logistics & Mobility,"Work with engineering and business teams to define product priorities. Key requirements include Microsoft Excel, relational queries, Data Analysis, visualization, Power BI, and Python. The position contributes to production systems serving Logistics & Mobility customers. The role involves cross-functional collaboration and continuous improvement.",2026-04-27
J070,Full Stack Developer,Pune,HealthTech,"Work across user interfaces, APIs, and data services. Key requirements include React, JS, Node.js, RESTful APIs, relational queries, Git version control, and TypeScript. The position contributes to production systems serving HealthTech customers. Candidates should be comfortable working in agile engineering teams.",2026-05-27
J071,UI Developer,Pune,Logistics & Mobility,"Implement reusable interfaces for customer-facing web applications. Key requirements include HTML, CSS, JavaScript, React, Tailwind CSS, TypeScript, and Angular. The position contributes to production systems serving Logistics & Mobility customers. Candidates should be comfortable working in agile engineering teams.",2026-09-03
J072,Technical Support Engineer,Nagpur,Manufacturing Technology,"Support production systems and troubleshoot technical issues. Key requirements include Linux, PowerShell, relational queries, Git version control, and Python 3. The team delivers technology solutions for the Manufacturing Technology sector. Practical project experience and strong problem-solving skills are valued.",2026-07-13
J073,QA Automation Engineer,Mumbai,SaaS,"Improve test automation and software release quality. Key requirements include Java, Python, relational queries, Git version control, CI/CD, Amazon Web Services, Jenkins, and Postgres. The team delivers technology solutions for the SaaS sector. Experience with production systems and collaborative development is expected.",2026-08-09
J074,Full Stack Developer,Nagpur,FinTech,"Build end-to-end web applications across frontend and backend layers. Key requirements include ReactJS, JS, NodeJS, RESTful APIs, relational queries, and PostgreSQL. The position contributes to production systems serving FinTech customers. Experience with production systems and collaborative development is expected.",2026-06-14
J075,Data Scientist,Mumbai,EdTech,"Build data workflows and analytical solutions for business teams. Key requirements include Python, Pandas, numpy, Machine Learning, and data analytics. The position contributes to production systems serving EdTech customers. Candidates should be comfortable working in agile engineering teams.",2026-03-14
J076,Data Scientist,Nagpur,HealthTech,"Build data workflows and analytical solutions for business teams. Key requirements include Python 3, Pandas, NumPy, Machine Learning, Natural Language Processing, containerized deployments, Deep Learning, and data analytics. The team delivers technology solutions for the HealthTech sector. Experience with production systems and collaborative development is expected.",2026-09-12
J077,Backend Developer,Nagpur,HealthTech,"Develop reliable backend services and APIs for production systems. Key requirements include Java programming, Spring Boot, relational queries, RESTful APIs, AWS, Jenkins, Postgres, and containerized deployments. The role supports HealthTech products in Nagpur. The role involves cross-functional collaboration and continuous improvement.",2026-09-20
J078,DevOps Engineer,Pune,EdTech,"Improve reliability, automation, and deployment processes. Key requirements include Docker, K8s, AWS, Linux, Git, Azure, and continuous integration and deployment. The role supports EdTech products in Pune. Practical project experience and strong problem-solving skills are valued.",2026-05-24
J079,Node.js Developer,Nashik,EdTech,"Develop reliable backend services and APIs for production systems. Key requirements include NodeJS, JS, RESTful APIs, MongoDB, Express.js, Amazon Web Services, and TypeScript. The position contributes to production systems serving EdTech customers. Practical project experience and strong problem-solving skills are valued.",2026-08-07
J080,API Developer,Nashik,EdTech,"Design and maintain scalable server-side components. Key requirements include RESTful APIs, Java, SpringBoot, relational queries, FastAPI, NodeJS, and Git. The team delivers technology solutions for the EdTech sector. Candidates should be comfortable working in agile engineering teams.",2026-03-17
J081,Full Stack Engineer,Nashik,E-commerce,"Build end-to-end web applications across frontend and backend layers. Key requirements include React, NodeJS, JavaScript, RESTful APIs, SQL, Amazon Web Services, TypeScript, and Postgres. The team delivers technology solutions for the E-commerce sector. Candidates should be comfortable working in agile engineering teams.",2026-06-04
J082,Cloud Engineer,Pune,EdTech,"Operate production infrastructure and engineering delivery pipelines. Key requirements include Amazon Web Services, Linux, containerized deployments, infrastructure as code, and Git. The team delivers technology solutions for the EdTech sector. Practical project experience and strong problem-solving skills are valued.",2026-04-07
J083,Frontend Developer,Mumbai,E-commerce,"Implement reusable interfaces for customer-facing web applications. Key requirements include HTML5, CSS3, JavaScript, ReactJS, Git version control, Angular, and NodeJS. The team delivers technology solutions for the E-commerce sector. Experience with production systems and collaborative development is expected.",2026-08-25
J084,Product Manager,Nashik,EdTech,"Translate customer needs into measurable product improvements. Key requirements include Microsoft Excel, SQL, data analytics, visualization, and PowerBI. The position contributes to production systems serving EdTech customers. The role involves cross-functional collaboration and continuous improvement.",2026-09-01
J085,Cloud Engineer,Nagpur,HealthTech,"Operate production infrastructure and engineering delivery pipelines. Key requirements include AWS, Linux, containerized deployments, Terraform, and K8s. The role supports HealthTech products in Nagpur. Candidates should be comfortable working in agile engineering teams.",2026-08-01
J086,Full Stack Developer,Pune,Logistics & Mobility,"Build end-to-end web applications across frontend and backend layers. Key requirements include React, JS, Node.js, RESTful APIs, relational queries, Git version control, PostgreSQL, and AWS. The team delivers technology solutions for the Logistics & Mobility sector. The role involves cross-functional collaboration and continuous improvement.",2026-04-18
J087,Frontend Developer,Mumbai,E-commerce,"Implement reusable interfaces for customer-facing web applications. Key requirements include HTML5, CSS3, JS, ReactJS, Git version control, Tailwind, and TypeScript. The role supports E-commerce products in Mumbai. Experience with production systems and collaborative development is expected.",2026-09-20
J088,API Developer,Nashik,FinTech,"Build and maintain server-side applications for business products. Key requirements include RESTful APIs, Java, Spring Boot, SQL, and Node.js. The team delivers technology solutions for the FinTech sector. Experience with production systems and collaborative development is expected.",2026-04-06
J089,Node.js Developer,Nashik,IT Services,"Develop reliable backend services and APIs for production systems. Key requirements include Node.js, JS, RESTful APIs, MongoDB, Express, containerized deployments, TypeScript, and Git. The position contributes to production systems serving IT Services customers. Experience with production systems and collaborative development is expected.",2026-09-10
J090,Frontend Engineer,Nagpur,HealthTech,"Develop responsive user interfaces for web products. Key requirements include ReactJS, TypeScript, JavaScript, HTML, CSS3, and Tailwind CSS. The team delivers technology solutions for the HealthTech sector. Candidates should be comfortable working in agile engineering teams.",2026-06-27
J091,Frontend Developer,Pune,E-commerce,"Implement reusable interfaces for customer-facing web applications. Key requirements include HTML5, CSS, JS, React, Git version control, and Tailwind CSS. The team delivers technology solutions for the E-commerce sector. Candidates should be comfortable working in agile engineering teams.",2026-04-21
J092,BI Analyst,Nashik,FinTech,"Build data workflows and analytical solutions for business teams. Key requirements include Microsoft Excel, PowerBI, relational queries, Data Visualization, Python 3, and Pandas. The team delivers technology solutions for the FinTech sector. The role involves cross-functional collaboration and continuous improvement.",2026-07-01
J093,UI Developer,Pune,E-commerce,"Implement reusable interfaces for customer-facing web applications. Key requirements include HTML, CSS3, JS, React, and Tailwind. The position contributes to production systems serving E-commerce customers. The role involves cross-functional collaboration and continuous improvement.",2026-06-29
J094,Cloud Engineer,Nashik,Manufacturing Technology,"Operate production infrastructure and engineering delivery pipelines. Key requirements include AWS, Linux, containerized deployments, infrastructure as code, and continuous integration and deployment. The team delivers technology solutions for the Manufacturing Technology sector. Candidates should be comfortable working in agile engineering teams.",2026-04-29
J095,BI Analyst,Mumbai,SaaS,"Build data workflows and analytical solutions for business teams. Key requirements include Microsoft Excel, Power BI, relational queries, visualization, and Data Analysis. The team delivers technology solutions for the SaaS sector. Practical project experience and strong problem-solving skills are valued.",2026-07-03
J096,Backend Engineer,Mumbai,E-commerce,"Design and maintain scalable server-side components. Key requirements include Java, Spring Boot, relational queries, REST API, Git version control, Postgres, and AWS. The position contributes to production systems serving E-commerce customers. Candidates should be comfortable working in agile engineering teams.",2026-03-05
J097,QA Automation Engineer,Nagpur,HealthTech,"Develop automated quality checks for software products. Key requirements include Java, Python 3, SQL, Git version control, CI/CD, and Jenkins. The position contributes to production systems serving HealthTech customers. Experience with production systems and collaborative development is expected.",2026-05-15
J098,DevOps Engineer,Pune,Logistics & Mobility,"Operate production infrastructure and engineering delivery pipelines. Key requirements include containerized deployments, Kubernetes, Amazon Web Services, Linux, Git version control, Jenkins, Terraform, and PowerShell. The role supports Logistics & Mobility products in Pune. Candidates should be comfortable working in agile engineering teams.",2026-08-05
J099,QA Automation Engineer,Nagpur,E-commerce,"Develop automated quality checks for software products. Key requirements include Java, Python 3, SQL, Git version control, CI/CD, containerized deployments, Jenkins, and AWS. The position contributes to production systems serving E-commerce customers. Candidates should be comfortable working in agile engineering teams.",2026-08-23
J100,Product Manager,Nagpur,IT Services,"Translate customer needs into measurable product improvements. Key requirements include Excel, SQL, data analytics, Data Visualization, and Git. The role supports IT Services products in Nagpur. The role involves cross-functional collaboration and continuous improvement.",2026-03-25
J101,Product Manager,Pune,Manufacturing Technology,"Use product and business data to guide feature decisions. Key requirements include Excel, SQL, Data Analysis, visualization, PowerBI, and Python. The position contributes to production systems serving Manufacturing Technology customers. Experience with production systems and collaborative development is expected.",2026-03-10
J102,Data Engineer,Nashik,FinTech,"Analyze business data and support data-driven product decisions. Key requirements include Python, relational queries, Postgres, Pandas, and Docker. The position contributes to production systems serving FinTech customers. Practical project experience and strong problem-solving skills are valued.",2026-03-10
J103,Data Analyst,Nagpur,E-commerce,"Work with structured datasets to produce actionable insights. Key requirements include Python 3, SQL, Microsoft Excel, Pandas, Data Visualization, Power BI, and Git. The position contributes to production systems serving E-commerce customers. Experience with production systems and collaborative development is expected.",2026-06-07
J104,DevOps Engineer,Pune,FinTech,"Operate production infrastructure and engineering delivery pipelines. Key requirements include Docker, Kubernetes, AWS, Linux, Git, continuous integration and deployment, Google Cloud Platform, and Microsoft Azure. The role supports FinTech products in Pune. Candidates should be comfortable working in agile engineering teams.",2026-08-19
J105,BI Analyst,Mumbai,HealthTech,"Build data workflows and analytical solutions for business teams. Key requirements include Excel, PowerBI, relational queries, visualization, Git version control, data analytics, and Pandas. The position contributes to production systems serving HealthTech customers. Experience with production systems and collaborative development is expected.",2026-04-30
J106,Data Scientist,Nashik,Manufacturing Technology,"Analyze business data and support data-driven product decisions. Key requirements include Python, Pandas, NumPy, ML, relational queries, and data analytics. The role supports Manufacturing Technology products in Nashik. Practical project experience and strong problem-solving skills are valued.",2026-05-16
J107,Senior Backend Developer,Mumbai,Logistics & Mobility,"Develop reliable backend services and APIs for production systems. Key requirements include Java programming, Spring Boot, relational queries, REST API, PostgreSQL, Docker, and Kubernetes. The position contributes to production systems serving Logistics & Mobility customers. Practical project experience and strong problem-solving skills are valued.",2026-08-30
J108,Java Developer,Nashik,EdTech,"Develop reliable backend services and APIs for production systems. Key requirements include Java programming, SpringBoot, relational queries, Postgres, REST API, Amazon Web Services, and Jenkins. The team delivers technology solutions for the EdTech sector. Experience with production systems and collaborative development is expected.",2026-08-15
J109,Frontend Engineer,Nashik,Logistics & Mobility,"Implement reusable interfaces for customer-facing web applications. Key requirements include React, TypeScript, JavaScript, HTML, CSS, and Angular. The team delivers technology solutions for the Logistics & Mobility sector. Candidates should be comfortable working in agile engineering teams.",2026-03-29
J110,UI Developer,Mumbai,IT Services,"Implement reusable interfaces for customer-facing web applications. Key requirements include HTML, CSS, JS, React, and Tailwind CSS. The position contributes to production systems serving IT Services customers. Experience with production systems and collaborative development is expected.",2026-07-15
J111,Data Engineer,Nagpur,IT Services,"Build data workflows and analytical solutions for business teams. Key requirements include Python 3, SQL, PostgreSQL, Pandas, Docker, and Git version control. The role supports IT Services products in Nagpur. Candidates should be comfortable working in agile engineering teams.",2026-03-29
J112,Cloud Engineer,Nashik,SaaS,"Improve reliability, automation, and deployment processes. Key requirements include Amazon Web Services, Linux, Docker, Terraform, Azure, Git, and continuous integration and deployment. The role supports SaaS products in Nashik. Practical project experience and strong problem-solving skills are valued.",2026-06-28
J113,UI Developer,Mumbai,FinTech,"Build accessible and performant frontend applications. Key requirements include HTML, CSS3, JS, React, Tailwind, TypeScript, and Git. The role supports FinTech products in Mumbai. Candidates should be comfortable working in agile engineering teams.",2026-08-16
J114,Data Engineer,Pune,IT Services,"Build data workflows and analytical solutions for business teams. Key requirements include Python 3, relational queries, PostgreSQL, Pandas, Docker, and Linux. The position contributes to production systems serving IT Services customers. Experience with production systems and collaborative development is expected.",2026-05-07
J115,Technical Support Engineer,Nashik,E-commerce,"Assist customers and engineering teams with technical operations. Key requirements include Linux, PowerShell, relational queries, Git, containerized deployments, Amazon Web Services, and Postgres. The position contributes to production systems serving E-commerce customers. Experience with production systems and collaborative development is expected.",2026-09-14
J116,Site Reliability Engineer,Nagpur,SaaS,"Build and maintain cloud infrastructure and deployment workflows. Key requirements include Docker, K8s, Amazon Web Services, Linux, Git version control, CI/CD, and PowerShell. The role supports SaaS products in Nagpur. Candidates should be comfortable working in agile engineering teams.",2026-09-08
J117,Data Engineer,Pune,IT Services,"Analyze business data and support data-driven product decisions. Key requirements include Python, SQL, Postgres, Pandas, Docker, Linux, Terraform, and Git. The position contributes to production systems serving IT Services customers. Experience with production systems and collaborative development is expected.",2026-07-18
J118,UI Developer,Mumbai,Manufacturing Technology,"Build accessible and performant frontend applications. Key requirements include HTML, CSS3, JavaScript, React, Tailwind CSS, TypeScript, and Git. The position contributes to production systems serving Manufacturing Technology customers. Experience with production systems and collaborative development is expected.",2026-04-21
J119,Frontend Engineer,Nashik,IT Services,"Build accessible and performant frontend applications. Key requirements include React, TypeScript, JS, HTML5, CSS, Tailwind CSS, and Git version control. The team delivers technology solutions for the IT Services sector. Practical project experience and strong problem-solving skills are valued.",2026-04-02
J120,Node.js Developer,Nagpur,Manufacturing Technology,"Build and maintain server-side applications for business products. Key requirements include NodeJS, JavaScript, RESTful APIs, MongoDB, Express.js, and AWS. The role supports Manufacturing Technology products in Nagpur. Experience with production systems and collaborative development is expected.",2026-03-24
J121,React Developer,Nashik,Manufacturing Technology,"Implement reusable interfaces for customer-facing web applications. Key requirements include ReactJS, JavaScript, HTML5, CSS, Tailwind, and Git. The position contributes to production systems serving Manufacturing Technology customers. Practical project experience and strong problem-solving skills are valued.",2026-05-22
J122,Technical Support Engineer,Mumbai,IT Services,"Monitor application issues and help maintain reliable services. Key requirements include Linux, PowerShell, SQL, Git version control, and Docker. The role supports IT Services products in Mumbai. The role involves cross-functional collaboration and continuous improvement.",2026-08-14
J123,BI Analyst,Pune,FinTech,"Build data workflows and analytical solutions for business teams. Key requirements include Excel, Power BI, relational queries, visualization, and Pandas. The role supports FinTech products in Pune. Practical project experience and strong problem-solving skills are valued.",2026-06-16
J124,Full Stack Engineer,Nashik,E-commerce,"Work across user interfaces, APIs, and data services. Key requirements include ReactJS, NodeJS, JavaScript, RESTful APIs, SQL, Git version control, containerized deployments, and Express. The team delivers technology solutions for the E-commerce sector. Candidates should be comfortable working in agile engineering teams.",2026-05-11
J125,Frontend Developer,Mumbai,EdTech,"Implement reusable interfaces for customer-facing web applications. Key requirements include HTML, CSS3, JS, ReactJS, Git version control, Node.js, Tailwind, and TypeScript. The team delivers technology solutions for the EdTech sector. Candidates should be comfortable working in agile engineering teams.",2026-09-11
J126,Backend Developer,Pune,EdTech,"Build and maintain server-side applications for business products. Key requirements include Java programming, SpringBoot, relational queries, REST API, containerized deployments, and Jenkins. The position contributes to production systems serving EdTech customers. Experience with production systems and collaborative development is expected.",2026-04-16
J127,UI Developer,Mumbai,SaaS,"Build accessible and performant frontend applications. Key requirements include HTML, CSS, JS, React, and Tailwind. The role supports SaaS products in Mumbai. Candidates should be comfortable working in agile engineering teams.",2026-07-28
J128,Technical Support Engineer,Pune,EdTech,"Support production systems and troubleshoot technical issues. Key requirements include Linux, PowerShell, relational queries, Git, and Amazon Web Services. The role supports EdTech products in Pune. Practical project experience and strong problem-solving skills are valued.",2026-03-25
J129,Node.js Developer,Mumbai,Logistics & Mobility,"Build and maintain server-side applications for business products. Key requirements include NodeJS, JS, REST API, MongoDB, Express, TypeScript, GraphQL, and containerized deployments. The team delivers technology solutions for the Logistics & Mobility sector. The role involves cross-functional collaboration and continuous improvement.",2026-05-30
